filename stability_measured stability_predicted
94-QH-Li.poscar_LiNiCuGa.vasp None 3.532771e-02
95-QH-Li.poscar_LiCoNiGe.vasp None 3.196784e-02
96-QH-Li.poscar_LiNiCuGe.vasp None 4.909449e-02
97-QH-Li.poscar_LiNiCuIn.vasp None 5.608767e-02
98-QH-Li.poscar_MgCoNiGa.vasp None 7.606902e-02
99-QH-Li.poscar_MgNiCuGa.vasp None 6.126675e-02
100-QH-Li.poscar_MgNiCuIn.vasp None 5.699483e-02
101-QH-Li.poscar_MnCoNiGa.vasp None 1.668441e-02
102-QH-Li.poscar_MnNiCuGa.vasp None 7.193385e-02
103-QH-Li.poscar_MnFeNiGa.vasp None 7.015272e-02
104-QH-Li.poscar_MnCoNiGe.vasp None 7.623866e-02
105-QH-Li.poscar_MnFeNiGe.vasp None 5.926265e-02
106-QH-Li.poscar_LiMnNiGa.vasp None 9.429522e-02
107-QH-Li.poscar_CoNiGaNb.vasp None 7.722821e-02
108-QH-Li.poscar_FeNiGaNb.vasp None 8.998435e-02
109-QH-Li.poscar_LiAlMoOs.vasp None 8.224154e-02
110-QH-Li.poscar_LiCuAgPb.vasp None 8.299027e-02
111-QH-Li.poscar_PdAgCdAu.vasp None 8.377226e-02
112-QH-Li.poscar_CuPdAgAu.vasp None 9.417390e-02
113-QH-Li.poscar_PdAgDyEr.vasp None 8.920819e-02
114-QH-Li.poscar_CuPdDyEr.vasp None 8.629372e-02
115-QH-Li.poscar_PdAgEuDy.vasp None 9.736805e-02
116-QH-Li.poscar_PdAgEuEr.vasp None 9.838439e-02
117-QH-Li.poscar_AlPdAgHf.vasp None 9.946586e-02
118-QH-Li.poscar_CuGaPdHf.vasp None 6.143209e-02
119-QH-Li.poscar_PdAgDyHo.vasp None 9.023089e-02
120-QH-Li.poscar_CuPdDyHo.vasp None 8.828178e-02
121-QH-Li.poscar_PdAgHoEr.vasp None 8.398524e-02
122-QH-Li.poscar_PdHoErAu.vasp None 9.780174e-02
123-QH-Li.poscar_CuPdHoEr.vasp None 8.161396e-02
124-QH-Li.poscar_PdAgEuHo.vasp None 9.699915e-02
125-QH-Li.poscar_CuPdInHf.vasp None 5.760920e-02
126-QH-Li.poscar_LiAlPdAg.vasp None 9.706920e-02
127-QH-Li.poscar_LiPdAgAu.vasp None 9.263248e-02
128-QH-Li.poscar_LiPdAgCd.vasp None 5.915802e-02
129-QH-Li.poscar_LiPdCdAu.vasp None 9.107923e-02
130-QH-Li.poscar_LiCuPdAg.vasp None 7.956323e-02
131-QH-Li.poscar_LiCuPdAu.vasp None 8.345455e-02
132-QH-Li.poscar_LiCuPdCd.vasp None 6.730668e-02
133-QH-Li.poscar_LiGaPdAg.vasp None 8.631884e-02
134-QH-Li.poscar_LiGaPdCd.vasp None 9.403388e-02
135-QH-Li.poscar_LiCuGaPd.vasp None 5.656438e-02
136-QH-Li.poscar_LiGePdAg.vasp None 9.058420e-02
137-QH-Li.poscar_LiCuGePd.vasp None 4.905821e-02
138-QH-Li.poscar_LiPdAgIn.vasp None 5.854623e-02
139-QH-Li.poscar_LiPdInAu.vasp None 9.290761e-02
140-QH-Li.poscar_LiPdCdIn.vasp None 7.405729e-02
141-QH-Li.poscar_LiCuPdIn.vasp None 5.396784e-02
142-QH-Li.poscar_GaPdAgLu.vasp None 9.001103e-02
143-QH-Li.poscar_CuGaPdLu.vasp None 8.918299e-02
144-QH-Li.poscar_CuPdInLu.vasp None 7.747842e-02
145-QH-Li.poscar_MgPdAgCd.vasp None 7.293270e-02
146-QH-Li.poscar_MgGaPdAg.vasp None 9.442706e-02
147-QH-Li.poscar_MgCuGaPd.vasp None 7.394159e-02
148-QH-Li.poscar_MgCuPdIn.vasp None 7.439201e-02
149-QH-Li.poscar_LiMgPdAg.vasp None 9.148680e-02
150-QH-Li.poscar_LiMgCuPd.vasp None 9.816533e-02
151-QH-Li.poscar_GaPmDyHg.vasp None 9.525060e-02
152-QH-Li.poscar_GaPmEuHg.vasp None 8.820629e-02
153-QH-Li.poscar_CaCdInPm.vasp None 9.456505e-02
154-QH-Li.poscar_InPmDyHg.vasp None 9.572926e-02
155-QH-Li.poscar_InPmErHg.vasp None 8.629118e-02
156-QH-Li.poscar_InPmEuHg.vasp None 6.385241e-02
157-QH-Li.poscar_GaPrErHg.vasp None 9.624009e-02
158-QH-Li.poscar_GaPrEuHg.vasp None 7.849231e-02
159-QH-Li.poscar_CaCdInPr.vasp None 9.018629e-02
160-QH-Li.poscar_InPrDyHg.vasp None 8.015904e-02
161-QH-Li.poscar_InPrErHg.vasp None 9.758615e-02
162-QH-Li.poscar_InPrEuHg.vasp None 7.832081e-02
163-QH-Li.poscar_AgDyErPt.vasp None 8.919459e-02
164-QH-Li.poscar_CuDyErPt.vasp None 8.509950e-02
165-QH-Li.poscar_AgDyHoPt.vasp None 8.460369e-02
166-QH-Li.poscar_CuDyHoPt.vasp None 8.448110e-02
167-QH-Li.poscar_AgHoErPt.vasp None 8.571737e-02
168-QH-Li.poscar_CuHoErPt.vasp None 7.816233e-02
169-QH-Li.poscar_CuInHfPt.vasp None 7.628260e-02
170-QH-Li.poscar_LiCuGaPt.vasp None 8.781736e-02
171-QH-Li.poscar_LiCuGePt.vasp None 9.652750e-02
172-QH-Li.poscar_LiCuInPt.vasp None 8.424115e-02
173-QH-Li.poscar_MgCuGaPt.vasp None 7.795542e-02
174-QH-Li.poscar_MgCuInPt.vasp None 9.617334e-02
175-QH-Li.poscar_MnCoGaPt.vasp None 9.596350e-02
176-QH-Li.poscar_MnCuGaPt.vasp None 7.739866e-02
177-QH-Li.poscar_AgNdEuPt.vasp None 9.982435e-02
178-QH-Li.poscar_NdEuPtAu.vasp None 9.763205e-02
179-QH-Li.poscar_PmDyPtAu.vasp None 9.020143e-02
180-QH-Li.poscar_AgPmEuPt.vasp None 9.354289e-02
181-QH-Li.poscar_PmEuPtAu.vasp None 9.665453e-02
182-QH-Li.poscar_NaKRbCs.vasp None 6.390120e-02
183-QH-Li.poscar_RhAgDyEr.vasp None 8.781041e-02
184-QH-Li.poscar_RhDyErAu.vasp None 9.287769e-02
185-QH-Li.poscar_CuRhDyEr.vasp None 9.753701e-02
186-QH-Li.poscar_RhAgDyHo.vasp None 9.915331e-02
