mae,size
0.39136477818959453,1
0.3015019508649141,5
0.1913958675889048,26
0.1791846731225091,136
0.09704344906083155,699
0.4284316812824772,1
0.3550641685056802,5
0.24198766248346745,26
0.14357743269764447,136
0.10120353362744175,699
0.34695678051103873,1
0.31918967196482445,5
0.26463585678364115,26
0.14426267034486415,136
0.09053703018770505,699
0.405468994201727,1
0.333975395379651,5
0.20585792485882137,26
0.15728298215856326,136
0.09900584110838774,699
0.42884104422760966,1
0.31464978541538174,5
0.24614737108056045,26
0.1675562066618436,136
0.08718828718711273,699
